Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Cabin_Missing_Indicator,z_score_age,z_score_fare
third,male,31.0,0,0,7.925,Missing,S,True,0.11552399101116156,-0.47453337428424447
third,male,29.498846153846156,0,0,7.775,Missing,S,True,2.734054635016516e-16,-0.477419680969507
second,female,27.0,1,0,13.8583,Missing,C,True,-0.19230319487561243,-0.3603645512464603
third,male,11.0,5,2,46.9,Missing,S,True,-1.4236119384227084,0.2754253127697793
second,male,23.0,0,0,13.0,Missing,S,True,-0.5001303807623865,-0.376879998099532
first,male,40.0,0,0,0.0,B94,S,False,0.8081351592564031,-0.6270265774889434
third,male,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
third,female,28.0,0,0,7.8958,Missing,S,True,-0.11534639840391894,-0.47509524198564224
second,female,28.0,0,0,13.0,Missing,S,True,-0.11534639840391894,-0.376879998099532
third,male,29.498846153846156,1,0,19.9667,Missing,S,True,2.734054635016516e-16,-0.24282644620474642
third,male,19.0,0,0,10.1708,Missing,S,True,-0.8079575666491604,-0.43131959059249525
third,female,30.0,1,1,24.15,Missing,S,True,0.038567194539468067,-0.16233120116169067
third,male,20.0,0,0,7.8542,Missing,S,True,-0.7310007701774669,-0.4758957110396884
third,male,28.0,0,0,56.4958,Missing,S,True,-0.11534639840391894,0.4600681240393881
third,male,36.0,0,0,0.0,Missing,S,True,0.5003079733696291,-0.6270265774889434
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
first,female,24.0,3,2,64.3625,C23 C25 C27,S,False,-0.42317358429069296,4.433631144004534
third,male,28.5,0,0,7.2292,Missing,C,True,-0.07686800016807219,-0.4879219888949486
third,female,24.0,0,3,19.2583,Missing,C,True,-0.42317358429069296,-0.2564575105770125
second,male,42.0,0,0,13.0,Missing,S,True,0.96204875219979,-0.376879998099532
first,male,54.0,0,1,64.3625,D26,S,False,1.8855303098601122,0.8601429420925284
third,male,25.0,0,0,7.7417,Missing,Q,True,-0.34621678781899945,-0.47806044105363515
third,male,7.0,4,1,39.6875,Missing,S,True,-1.7314391243094824,0.13664206632007703
third,male,25.0,1,0,17.8,Missing,S,True,-0.34621678781899945,-0.2845181841711339
third,female,27.0,0,1,12.475,E121,S,False,-0.19230319487561243,-0.3869820714979505
third,female,24.0,1,0,15.85,Missing,S,True,-0.42317358429069296,-0.3220401710795456
third,male,29.498846153846156,0,0,7.25,Missing,S,True,2.734054635016516e-16,-0.4875217543679255
second,female,28.0,0,0,12.65,Missing,S,True,-0.11534639840391894,-0.3836147136984777
third,male,19.0,0,0,14.5,Missing,S,True,-0.8079575666491604,-0.3480169312469076
third,male,22.0,0,0,7.25,Missing,S,True,-0.57708717723408,-0.4875217543679255
third,female,29.498846153846156,0,0,7.225,Missing,C,True,2.734054635016516e-16,-0.48800280548213587
third,female,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
first,male,42.0,0,0,26.2875,E24,S,False,0.96204875219979,-0.12120133089670086
second,male,50.0,0,0,13.0,Missing,S,True,1.5777031239733381,-0.376879998099532
second,male,3.0,1,1,18.75,Missing,S,True,-2.0392663101962563,-0.2662382418311385
first,male,29.498846153846156,0,0,64.3625,Missing,C,True,2.734054635016516e-16,3.7510196129399667
third,female,18.0,2,0,18.0,Missing,S,True,-0.8849143631208539,-0.2806697752574507
third,male,18.0,1,1,7.8542,Missing,S,True,-0.8849143631208539,-0.4758957110396884
first,male,44.0,2,0,64.3625,C78,Q,False,1.115962345143177,1.1047574336685202
first,male,29.498846153846156,0,0,30.0,D45,S,False,2.734054635016516e-16,-0.04976524043645552
first,male,29.498846153846156,0,0,42.4,Missing,S,True,2.734054635016516e-16,0.1888361122119061
third,male,29.498846153846156,1,0,24.15,Missing,Q,True,2.734054635016516e-16,-0.16233120116169067
third,male,16.0,0,0,7.775,Missing,S,True,-1.038827956064241,-0.477419680969507
third,male,29.498846153846156,0,0,7.3125,Missing,S,True,2.734054635016516e-16,-0.48631912658239945
third,male,22.0,0,0,7.8958,Missing,S,True,-0.57708717723408,-0.47509524198564224
second,female,4.0,1,1,23.0,Missing,S,True,-1.962309513724563,-0.18445955241536935
second,male,29.498846153846156,0,0,13.0,Missing,S,True,2.734054635016516e-16,-0.376879998099532
third,male,24.0,0,0,7.1417,Missing,S,True,-0.42317358429069296,-0.48960566779468495
second,female,30.0,0,0,12.35,Missing,Q,True,0.038567194539468067,-0.38938732706900253
third,female,29.0,0,2,15.2458,Missing,C,True,-0.03838960193222544,-0.33366621440778277
third,male,24.0,0,0,9.5,Missing,S,True,-0.42317358429069296,-0.4442271540889889
first,female,45.0,1,1,64.3625,Missing,S,True,1.1929191416148706,2.54534581175877
second,female,32.0,0,0,13.0,Missing,S,True,0.19248078748285508,-0.376879998099532
third,male,21.0,0,0,7.925,Missing,S,True,-0.6540439737057735,-0.47453337428424447
first,male,35.0,0,0,64.3625,B101,C,False,0.42335117689793555,9.231234722612106
third,female,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
third,male,29.498846153846156,2,0,23.25,Missing,Q,True,2.734054635016516e-16,-0.17964904127326528
first,male,36.0,0,1,64.3625,B51 B53 B55,C,False,0.5003079733696291,9.231234722612106
third,female,41.0,0,5,39.6875,Missing,S,True,0.8850919557280966,0.13664206632007703
third,female,23.0,0,0,7.55,Missing,S,True,-0.5001303807623865,-0.48174914099740057
third,male,34.0,1,1,14.4,Missing,S,True,0.34639438042624204,-0.34994113570374924
second,female,29.498846153846156,0,0,33.0,Missing,S,True,2.734054635016516e-16,0.007960893268793264
third,male,29.498846153846156,0,0,24.15,Missing,Q,True,2.734054635016516e-16,-0.16233120116169067
third,female,15.0,0,0,7.225,Missing,C,True,-1.1157847525359343,-0.48800280548213587
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,female,18.0,0,0,7.775,Missing,S,True,-0.8849143631208539,-0.477419680969507
third,male,30.0,0,0,8.05,Missing,S,True,0.038567194539468067,-0.47212811871319244
second,male,32.0,2,0,64.3625,Missing,S,True,0.19248078748285508,0.7872636982896519
third,male,4.0,4,1,29.125,Missing,Q,True,-1.962309513724563,-0.06660202943381975
third,male,2.0,4,1,29.125,Missing,Q,True,-2.1162231066679498,-0.06660202943381975
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,male,29.498846153846156,2,0,21.6792,Missing,C,True,2.734054635016516e-16,-0.20987444488133353
first,female,48.0,0,0,25.9292,D17,S,False,1.423789531029951,-0.1280957554655644
third,male,31.0,0,0,7.75,Missing,Q,True,0.11552399101116156,-0.47790073208371736
first,male,47.0,0,0,34.0208,D46,S,False,1.3468327345582576,0.027603172364232608
third,female,26.0,1,0,16.1,Missing,S,True,-0.26925999134730594,-0.3172296599374415
third,male,9.0,5,2,46.9,Missing,S,True,-1.5775255313660954,0.2754253127697793
third,male,19.0,0,0,8.05,Missing,S,True,-0.8079575666491604,-0.47212811871319244
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,male,22.0,0,0,9.35,Missing,S,True,-0.57708717723408,-0.4471134607742513
third,male,29.498846153846156,0,0,7.225,Missing,C,True,2.734054635016516e-16,-0.48800280548213587
second,male,28.0,0,1,33.0,Missing,S,True,-0.11534639840391894,0.007960893268793264
second,female,24.0,2,3,18.75,Missing,S,True,-0.42317358429069296,-0.2662382418311385
third,male,17.0,0,0,8.6625,Missing,S,True,-0.9618711595925474,-0.4603423664150375
third,male,29.498846153846156,1,0,15.5,Missing,Q,True,2.734054635016516e-16,-0.3287748866784913
third,female,29.498846153846156,3,1,25.4667,Missing,S,True,2.734054635016516e-16,-0.13699520107845697
third,male,21.0,0,0,8.05,Missing,S,True,-0.6540439737057735,-0.47212811871319244
first,male,51.0,0,0,26.55,E17,S,False,1.6546599204450316,-0.11615029419749161
third,female,3.0,3,1,21.075,Missing,S,True,-2.0392663101962563,-0.22150048820957066
third,female,0.75,2,1,19.2583,Missing,C,True,-2.212419102257567,-0.2564575105770125
third,male,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
third,male,34.0,0,0,8.05,Missing,S,True,0.34639438042624204,-0.47212811871319244
second,female,18.0,0,1,23.0,Missing,S,True,-0.8849143631208539,-0.18445955241536935
first,female,44.0,0,0,27.7208,B4,C,False,1.115962345143177,-0.09362170841678985
third,male,29.498846153846156,0,0,14.5,Missing,S,True,2.734054635016516e-16,-0.3480169312469076
third,male,29.498846153846156,0,0,9.5,Missing,S,True,2.734054635016516e-16,-0.4442271540889889
third,female,37.0,0,0,9.5875,Missing,S,True,0.5772647698413226,-0.4425434751892525
second,male,21.0,1,0,11.5,Missing,S,True,-0.6540439737057735,-0.4057430649521564
first,male,36.0,1,0,64.3625,C46,S,False,0.5003079733696291,0.8902086367306787
third,male,32.0,0,0,7.925,Missing,S,True,0.19248078748285508,-0.47453337428424447
third,female,29.498846153846156,1,2,23.45,Missing,S,True,2.734054635016516e-16,-0.17580063235958204
third,male,26.0,0,0,7.775,Missing,S,True,-0.26925999134730594,-0.477419680969507
third,male,55.5,0,0,8.05,Missing,S,True,2.0009655045676524,-0.47212811871319244
second,male,60.0,1,1,39.0,Missing,S,True,2.347271088690273,0.12341316067929084
third,male,29.498846153846156,0,0,7.7333,Missing,Q,True,2.734054635016516e-16,-0.4782220742280099
third,male,18.0,0,0,7.775,Missing,S,True,-0.8849143631208539,-0.477419680969507
third,female,14.5,1,0,14.4542,Missing,C,True,-1.154263150771781,-0.34889821688814104
second,male,19.0,0,0,10.5,Missing,S,True,-0.8079575666491604,-0.4249851095205726
second,female,4.0,2,1,39.0,F4,S,False,-1.962309513724563,0.12341316067929084
third,male,33.0,0,0,8.6542,Missing,S,True,0.2694375839545486,-0.46050207538495536
third,male,21.0,0,0,7.7333,Missing,Q,True,-0.6540439737057735,-0.4782220742280099
third,female,10.0,0,2,24.15,Missing,S,True,-1.500568734894402,-0.16233120116169067
second,male,47.0,0,0,15.0,Missing,S,True,1.3468327345582576,-0.33839590896269944
third,female,2.0,4,2,31.275,Missing,S,True,-2.1162231066679498,-0.025231633611724816
second,female,29.0,1,0,26.0,Missing,S,True,-0.03838960193222544,-0.12673341871012056
first,female,22.0,1,0,64.3625,C2,S,False,-0.57708717723408,0.6544935907675795
third,male,28.0,1,0,15.85,Missing,S,True,-0.11534639840391894,-0.3220401710795456
first,male,29.498846153846156,0,0,29.7,C47,C,False,2.734054635016516e-16,-0.05553785380698041
third,male,26.0,0,0,18.7875,Missing,C,True,-0.26925999134730594,-0.2655166651598228
third,male,33.0,0,0,9.5,Missing,S,True,0.2694375839545486,-0.4442271540889889
second,female,27.0,0,0,10.5,E101,S,False,-0.19230319487561243,-0.4249851095205726
third,female,27.0,0,2,11.1333,Missing,S,True,-0.19230319487561243,-0.41279912269539465
second,male,34.0,0,0,13.0,Missing,S,True,0.34639438042624204,-0.376879998099532
third,male,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
first,male,30.0,0,0,27.75,C111,C,False,0.038567194539468067,-0.09305984071539211
third,male,30.0,1,0,16.1,Missing,S,True,0.038567194539468067,-0.3172296599374415
second,female,29.498846153846156,0,0,12.35,E101,Q,False,2.734054635016516e-16,-0.38938732706900253
third,male,29.498846153846156,0,0,7.775,Missing,S,True,2.734054635016516e-16,-0.477419680969507
first,female,53.0,2,0,51.4792,C101,S,False,1.8085735133884187,0.363538483257471
third,male,32.0,0,0,7.925,Missing,S,True,0.19248078748285508,-0.47453337428424447
second,male,52.0,0,0,13.0,Missing,S,True,1.7316167169167251,-0.376879998099532
first,male,52.0,1,1,64.3625,E67,S,False,1.7316167169167251,0.905602272385412
third,female,39.0,1,5,31.275,Missing,S,True,0.7311783627847096,-0.025231633611724816
first,female,2.0,1,2,64.3625,C22 C26,S,False,-2.1162231066679498,2.2891052768545417
third,male,44.0,0,0,7.925,Missing,S,True,1.115962345143177,-0.47453337428424447
second,male,51.0,0,0,12.525,Missing,S,True,1.6546599204450316,-0.38601996926952975
second,male,39.0,0,0,26.0,Missing,S,True,0.7311783627847096,-0.12673341871012056
first,male,46.0,0,0,64.3625,B82 B84,C,False,1.269875938086564,0.8969433523296246
first,male,17.0,0,2,64.3625,C70,C,False,-0.9618711595925474,1.5065948230041275
third,male,30.0,0,0,8.05,Missing,S,True,0.038567194539468067,-0.47212811871319244
third,female,9.0,2,2,34.375,Missing,S,True,-1.5775255313660954,0.03441870455036562
third,male,27.0,0,0,7.7958,Missing,S,True,-0.19230319487561243,-0.4770194464424839
third,male,21.0,0,0,8.6625,Missing,S,True,-0.6540439737057735,-0.4603423664150375
third,male,29.498846153846156,0,0,56.4958,Missing,S,True,2.734054635016516e-16,0.4600681240393881
third,male,26.0,0,0,7.8958,Missing,S,True,-0.26925999134730594,-0.47509524198564224
third,male,3.0,1,1,15.9,Missing,S,True,-2.0392663101962563,-0.32107806885112483
second,male,48.0,0,0,13.0,Missing,S,True,1.423789531029951,-0.376879998099532
first,female,36.0,0,0,64.3625,C32,C,False,0.5003079733696291,1.98283542607243
third,female,29.498846153846156,1,0,15.5,Missing,Q,True,2.734054635016516e-16,-0.3287748866784913
second,female,32.5,0,0,13.0,E101,S,False,0.2309591857187018,-0.376879998099532
first,female,33.0,0,0,64.3625,B77,S,False,0.2694375839545486,1.0374102776790632
second,female,22.0,1,2,41.5792,Missing,C,True,-0.57708717723408,0.17304224203015006
third,male,19.0,0,0,6.75,Missing,Q,True,-0.8079575666491604,-0.49714277665213363
third,male,42.0,0,1,8.4042,Missing,S,True,0.96204875219979,-0.4653125865270594
first,female,40.0,0,0,64.3625,C125,S,False,0.8081351592564031,2.3259056870916375
third,female,35.0,1,1,20.25,Missing,S,True,0.42335117689793555,-0.23737517497851407
third,female,24.0,0,0,8.85,Missing,S,True,-0.42317358429069296,-0.45673448305845943
third,male,39.0,0,0,7.925,Missing,S,True,0.7311783627847096,-0.47453337428424447
second,male,32.5,1,0,30.0708,Missing,C,True,0.2309591857187018,-0.04840290368101168
second,male,1.0,2,1,39.0,F4,S,False,-2.1931799031396433,0.12341316067929084
third,male,34.0,0,0,6.4958,Missing,S,True,0.34639438042624204,-0.502034104381425
first,male,64.0,1,4,64.3625,C23 C25 C27,S,False,2.655098274577047,4.433631144004534
third,female,25.0,0,0,7.775,Missing,S,True,-0.34621678781899945,-0.477419680969507
third,female,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,male,1.0,1,2,20.575,Missing,S,True,-2.1931799031396433,-0.2311215104937788
third,male,45.0,0,0,6.975,Missing,S,True,1.1929191416148706,-0.49281331662423994
second,male,31.0,1,1,26.25,Missing,S,True,0.11552399101116156,-0.1219229075680165
third,female,21.0,1,0,9.825,Missing,S,True,-0.6540439737057735,-0.43797348960425364
third,male,25.0,0,0,7.8958,Missing,S,True,-0.34621678781899945,-0.47509524198564224
first,female,15.0,0,1,64.3625,B5,S,False,-1.1157847525359343,3.4395390164887285
third,male,26.0,0,0,7.8875,Missing,S,True,-0.26925999134730594,-0.47525495095556014
second,male,30.0,0,0,10.5,Missing,S,True,0.038567194539468067,-0.4249851095205726
first,female,24.0,0,0,64.3625,B35,C,False,-0.42317358429069296,0.7064471111023035
second,male,35.0,0,0,10.5,Missing,S,True,0.42335117689793555,-0.4249851095205726
first,male,29.498846153846156,0,0,0.0,B102,S,False,2.734054635016516e-16,-0.6270265774889434
third,male,21.0,0,0,16.1,Missing,S,True,-0.6540439737057735,-0.3172296599374415
third,female,18.0,0,1,9.35,Missing,S,True,-0.8849143631208539,-0.4471134607742513
third,female,29.498846153846156,0,0,8.1375,Missing,Q,True,2.734054635016516e-16,-0.4704444398134561
third,male,1.0,5,2,46.9,Missing,S,True,-2.1931799031396433,0.2754253127697793
third,female,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
third,male,26.0,0,0,56.4958,Missing,S,True,-0.26925999134730594,0.4600681240393881
third,male,25.0,1,0,7.775,Missing,S,True,-0.34621678781899945,-0.477419680969507
second,male,29.498846153846156,0,0,0.0,Missing,S,True,2.734054635016516e-16,-0.6270265774889434
third,male,20.0,0,0,9.5,Missing,S,True,-0.7310007701774669,-0.4442271540889889
first,female,54.0,1,0,64.3625,D20,C,False,1.8855303098601122,0.8789847521339217
third,male,22.0,0,0,8.05,Missing,S,True,-0.57708717723408,-0.47212811871319244
second,male,59.0,0,0,13.5,Missing,S,True,2.2703142922185795,-0.36725897581532385
second,female,54.0,1,3,23.0,Missing,S,True,1.8855303098601122,-0.18445955241536935
first,male,27.0,0,0,30.5,Missing,S,True,-0.19230319487561243,-0.04014421815224739
first,male,31.0,1,0,52.0,B71,S,False,0.11552399101116156,0.37355974006870224
first,male,22.0,0,0,64.3625,Missing,C,True,-0.57708717723408,1.98283542607243
first,male,33.0,0,0,5.0,B51 B53 B55,S,False,0.2694375839545486,-0.530816354646862
third,male,6.0,0,1,12.475,E121,S,False,-1.808395920781176,-0.3869820714979505
third,female,5.0,4,2,31.3875,Missing,S,True,-1.8853527172528695,-0.023066903597777973
first,male,39.0,0,0,0.0,A36,S,False,0.7311783627847096,-0.6270265774889434
third,male,24.5,0,0,8.05,Missing,S,True,-0.3846951860548462,-0.47212811871319244
second,male,54.0,0,0,14.0,Missing,S,True,1.8855303098601122,-0.3576379535311157
third,male,29.498846153846156,0,0,7.55,Missing,S,True,2.734054635016516e-16,-0.48174914099740057
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
third,male,30.0,0,0,7.2292,Missing,C,True,0.038567194539468067,-0.4879219888949486
third,female,29.498846153846156,0,0,7.8792,Missing,Q,True,2.734054635016516e-16,-0.47541465992547793
first,female,35.0,0,0,64.3625,Missing,C,True,0.42335117689793555,9.231234722612106
first,female,21.0,0,0,64.3625,D9,S,False,-0.6540439737057735,0.873050505589022
first,male,32.0,0,0,30.5,B50,C,False,0.19248078748285508,-0.04014421815224739
third,male,16.0,0,0,9.5,Missing,S,True,-1.038827956064241,-0.4442271540889889
third,female,22.0,0,0,7.25,Missing,S,True,-0.57708717723408,-0.4875217543679255
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
first,male,38.0,1,0,64.3625,C93,S,False,0.6542215663130161,1.1047574336685202
third,male,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
second,male,25.0,1,0,26.0,Missing,S,True,-0.34621678781899945,-0.12673341871012056
second,female,33.0,1,2,27.75,Missing,S,True,0.2694375839545486,-0.09305984071539211
third,female,29.498846153846156,1,0,16.1,Missing,S,True,2.734054635016516e-16,-0.3172296599374415
first,male,18.0,1,0,64.3625,C65,C,False,-0.8849143631208539,1.4684320760115879
third,male,29.498846153846156,1,0,16.1,Missing,S,True,2.734054635016516e-16,-0.3172296599374415
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
third,male,2.0,4,1,39.6875,Missing,S,True,-2.1162231066679498,0.13664206632007703
third,male,0.42,0,1,8.5167,Missing,C,True,-2.2378148450932254,-0.4631478565131126
second,male,26.0,0,0,10.5,Missing,S,True,-0.26925999134730594,-0.4249851095205726
third,male,41.0,0,0,7.125,Missing,S,True,0.8850919557280966,-0.48992700993897753
first,male,48.0,1,0,64.3625,D33,C,False,1.423789531029951,0.8494001086099818
second,female,48.0,1,2,64.3625,Missing,S,True,1.423789531029951,0.6237063194581136
first,female,48.0,1,0,39.6,A16,C,False,1.423789531029951,0.1349583874203406
third,male,4.0,4,2,31.275,Missing,S,True,-1.962309513724563,-0.025231633611724816
first,female,39.0,1,0,55.9,E44,S,False,0.7311783627847096,0.4486037138855256
third,female,33.0,3,0,15.85,Missing,S,True,0.2694375839545486,-0.3220401710795456
second,male,29.0,0,0,10.5,Missing,S,True,-0.03838960193222544,-0.4249851095205726
first,male,49.0,1,1,64.3625,C68,C,False,1.5007463275016446,1.5065948230041275
third,male,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
third,male,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
first,male,42.0,1,0,52.0,Missing,S,True,0.96204875219979,0.37355974006870224
first,female,36.0,0,2,64.3625,B22,S,False,0.5003079733696291,0.7391585868686112
first,male,61.0,0,0,33.5,B19,S,False,2.4242278851619665,0.017581915553001395
third,female,18.0,0,0,6.75,Missing,Q,True,-0.8849143631208539,-0.49714277665213363
third,female,18.0,0,0,7.4958,Missing,S,True,-0.8849143631208539,-0.48279205981300877
second,male,0.67,1,1,14.5,Missing,S,True,-2.218575645975302,-0.3480169312469076
third,male,32.0,0,0,56.4958,Missing,S,True,0.19248078748285508,0.4600681240393881
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,female,29.498846153846156,1,0,14.4542,Missing,C,True,2.734054635016516e-16,-0.34889821688814104
third,male,16.0,0,0,8.05,Missing,S,True,-1.038827956064241,-0.47212811871319244
first,male,31.0,1,0,57.0,B20,S,False,0.11552399101116156,0.46976996291078355
first,male,48.0,0,0,26.55,E12,S,False,1.423789531029951,-0.11615029419749161
third,male,22.0,0,0,7.225,Missing,C,True,-0.57708717723408,-0.48800280548213587
third,female,13.0,0,0,7.2292,Missing,C,True,-1.2696983454793214,-0.4879219888949486
third,male,32.0,1,0,15.85,Missing,S,True,0.19248078748285508,-0.3220401710795456
third,male,28.0,2,0,7.925,Missing,S,True,-0.11534639840391894,-0.47453337428424447
second,male,46.0,0,0,26.0,Missing,S,True,1.269875938086564,-0.12673341871012056
third,male,28.0,0,0,7.7958,Missing,S,True,-0.11534639840391894,-0.4770194464424839
second,male,42.0,1,0,27.0,Missing,S,True,0.96204875219979,-0.1074913741417043
third,male,35.0,0,0,8.05,Missing,S,True,0.42335117689793555,-0.47212811871319244
third,female,2.0,3,2,27.9,Missing,S,True,-2.1162231066679498,-0.0901735340301297
third,female,31.0,0,0,8.6833,Missing,S,True,0.11552399101116156,-0.45994213188801447
third,female,29.498846153846156,1,0,15.5,Missing,Q,True,2.734054635016516e-16,-0.3287748866784913
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
second,female,19.0,1,0,26.0,Missing,S,True,-0.8079575666491604,-0.12673341871012056
third,male,20.0,0,0,8.6625,Missing,S,True,-0.7310007701774669,-0.4603423664150375
third,male,14.0,5,2,46.9,Missing,S,True,-1.1927415490076279,0.2754253127697793
second,female,34.0,0,1,23.0,Missing,S,True,0.34639438042624204,-0.18445955241536935
third,female,29.498846153846156,0,0,7.7375,Missing,Q,True,2.734054635016516e-16,-0.47814125764082255
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,male,51.0,0,0,7.75,Missing,S,True,1.6546599204450316,-0.47790073208371736
third,female,29.498846153846156,0,0,7.6292,Missing,Q,True,2.734054635016516e-16,-0.480225171067582
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,male,28.0,0,0,9.5,Missing,S,True,-0.11534639840391894,-0.4442271540889889
second,male,25.0,0,0,13.0,Missing,S,True,-0.34621678781899945,-0.376879998099532
first,male,19.0,3,2,64.3625,C23 C25 C27,S,False,-0.8079575666491604,4.433631144004534
third,male,35.0,0,0,7.8958,Missing,C,True,0.42335117689793555,-0.47509524198564224
first,female,35.0,1,0,64.3625,C83,S,False,0.42335117689793555,0.9792030928596039
third,male,9.0,1,1,15.9,Missing,S,True,-1.5775255313660954,-0.32107806885112483
third,male,20.0,0,0,4.0125,Missing,C,True,-0.7310007701774669,-0.5498178736581731
second,male,42.0,0,0,13.0,Missing,S,True,0.96204875219979,-0.376879998099532
second,male,30.0,0,0,13.0,Missing,S,True,0.038567194539468067,-0.376879998099532
second,male,29.498846153846156,0,0,0.0,Missing,S,True,2.734054635016516e-16,-0.6270265774889434
third,male,21.0,0,0,7.7958,Missing,S,True,-0.6540439737057735,-0.4770194464424839
third,male,47.0,0,0,7.25,Missing,S,True,1.3468327345582576,-0.4875217543679255
first,female,25.0,1,2,64.3625,C22 C26,S,False,-0.34621678781899945,2.2891052768545417
third,male,16.0,0,0,9.2167,Missing,S,True,-1.038827956064241,-0.44967842531522123
first,male,45.0,1,0,64.3625,C83,S,False,1.1929191416148706,0.9792030928596039
third,male,38.0,0,0,8.6625,Missing,S,True,0.6542215663130161,-0.4603423664150375
first,male,56.0,0,0,35.5,A26,C,False,2.039443902803499,0.05606600468983392
third,female,29.498846153846156,1,1,22.3583,F E69,C,False,2.734054635016516e-16,-0.19680717241492207
first,male,31.0,0,0,50.4958,A24,S,False,0.11552399101116156,0.34461585662889055
first,female,30.0,0,0,64.3625,B73,S,False,0.038567194539468067,1.1721045896579771
first,male,29.498846153846156,0,0,27.7208,Missing,C,True,2.734054635016516e-16,-0.09362170841678985
third,female,14.0,0,0,7.8542,Missing,S,True,-1.1927415490076279,-0.4758957110396884
third,female,16.0,0,0,7.7333,Missing,Q,True,-1.038827956064241,-0.4782220742280099
third,female,40.0,1,0,9.475,Missing,S,True,0.8081351592564031,-0.44470820520319926
first,male,55.0,0,0,30.5,C30,S,False,1.9624871063318057,-0.04014421815224739
third,male,19.0,0,0,7.775,Missing,S,True,-0.8079575666491604,-0.477419680969507
first,male,45.0,0,0,26.55,Missing,S,True,1.1929191416148706,-0.11615029419749161
first,female,36.0,1,2,64.3625,B96 B98,S,False,0.5003079733696291,1.6820187707210081
third,female,27.0,0,0,7.925,Missing,S,True,-0.19230319487561243,-0.47453337428424447
first,female,49.0,1,0,64.3625,D33,C,False,1.5007463275016446,0.8494001086099818
first,female,41.0,0,0,64.3625,E40,C,False,0.8850919557280966,1.961028416963044
first,male,19.0,1,0,53.1,D30,S,False,-0.8079575666491604,0.3947259890939602
third,male,33.0,0,0,7.775,Missing,S,True,0.2694375839545486,-0.477419680969507
first,male,27.0,1,0,53.1,E8,S,False,-0.19230319487561243,0.3947259890939602
first,male,29.498846153846156,0,0,27.7208,Missing,C,True,2.734054635016516e-16,-0.09362170841678985
first,male,35.0,0,0,26.2875,E24,S,False,0.42335117689793555,-0.12120133089670086
third,female,29.0,1,1,10.4625,G6,S,False,-0.03838960193222544,-0.4257066861918883
second,female,30.0,3,0,21.0,Missing,S,True,0.038567194539468067,-0.2229436415522019
third,male,34.0,0,0,8.05,Missing,S,True,0.34639438042624204,-0.47212811871319244
third,male,29.0,0,0,7.8958,Missing,C,True,-0.03838960193222544,-0.47509524198564224
first,female,19.0,0,0,30.0,B42,S,False,-0.8079575666491604,-0.04976524043645552
first,female,35.0,0,0,64.3625,C99,S,False,0.42335117689793555,1.98283542607243
third,male,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
second,female,40.0,0,0,15.75,Missing,S,True,0.8081351592564031,-0.32396437553638724
first,male,62.0,0,0,26.55,Missing,S,True,2.50118468163366,-0.11615029419749161
third,female,25.0,1,0,7.925,Missing,S,True,-0.34621678781899945,-0.47453337428424447
third,male,26.0,0,0,8.05,Missing,S,True,-0.26925999134730594,-0.47212811871319244
third,female,18.0,0,1,14.4542,Missing,C,True,-0.8849143631208539,-0.34889821688814104
